mass,weight,sample,role
209.1963,1.0,Data,data
552.6226,1.0,Data,data
187.13658,1.0,Data,data
224.43254,1.0,Data,data
222.98886,1.0,Data,data
205.4017,1.0,Data,data
198.27423,1.0,Data,data
247.06062,1.0,Data,data
184.94843,1.0,Data,data
300.45996,1.0,Data,data
191.56393,1.0,Data,data
282.209,1.0,Data,data
163.73378,1.0,Data,data
416.67426,1.0,Data,data
125.74975,1.0,Data,data
91.24007,1.0,Data,data
468.48947,1.0,Data,data
181.35568,1.0,Data,data
172.7294,1.0,Data,data
232.97371,1.0,Data,data
125.823524,1.0,Data,data
164.6033,1.0,Data,data
191.59132,1.0,Data,data
150.6885,1.0,Data,data
184.86357,1.0,Data,data
199.4089,1.0,Data,data
215.40195,1.0,Data,data
162.439,1.0,Data,data
217.32489,1.0,Data,data
205.52562,1.0,Data,data
300.5824,1.0,Data,data
359.64453,1.0,Data,data
570.8966,1.0,Data,data
278.67352,1.0,Data,data
344.67627,1.0,Data,data
144.82631,1.0,Data,data
240.53285,1.0,Data,data
94.91639,1.0,Data,data
253.82048,1.0,Data,data
145.28912,1.0,Data,data
200.15923,1.0,Data,data
595.4487,1.0,Data,data
178.12216,1.0,Data,data
341.09833,1.0,Data,data
205.21506,1.0,Data,data
249.80205,1.0,Data,data
223.6188,1.0,Data,data
212.6113,1.0,Data,data
320.6968,1.0,Data,data
251.37936,1.0,Data,data
239.03894,1.0,Data,data
395.63196,1.0,Data,data
321.14166,1.0,Data,data
219.92502,1.0,Data,data
210.2566,1.0,Data,data
270.33383,1.0,Data,data
405.78262,1.0,Data,data
237.7823,1.0,Data,data
213.06302,1.0,Data,data
323.4585,1.0,Data,data
182.50024,1.0,Data,data
360.6997,1.0,Data,data
190.8328,1.0,Data,data
94.98405,1.0,Data,data
90.09422,1.0,Data,data
332.16074,1.0,Data,data
92.543594,1.0,Data,data
267.08438,1.0,Data,data
302.4042,1.0,Data,data
192.58542,1.0,Data,data
152.17899,1.0,Data,data
192.35976,1.0,Data,data
320.00504,1.0,Data,data
185.26265,1.0,Data,data
242.15504,1.0,Data,data
211.781,1.0,Data,data
359.1639,1.0,Data,data
231.13173,1.0,Data,data
744.985,1.0,Data,data
219.6095,1.0,Data,data
235.42166,1.0,Data,data
261.85535,1.0,Data,data
90.99469,1.0,Data,data
271.3465,1.0,Data,data
156.77856,1.0,Data,data
100.11398,1.0,Data,data
145.11208,1.0,Data,data
238.54091,1.0,Data,data
247.0423,1.0,Data,data
215.91374,1.0,Data,data
281.43567,1.0,Data,data
234.48077,1.0,Data,data
506.5622,1.0,Data,data
321.95862,1.0,Data,data
258.87326,1.0,Data,data
185.93631,1.0,Data,data
195.99806,1.0,Data,data
204.78807,1.0,Data,data
152.01123,1.0,Data,data
194.85416,1.0,Data,data
517.4732,1.0,Data,data
181.58598,1.0,Data,data
201.78755,1.0,Data,data
221.35077,1.0,Data,data
105.42296,1.0,Data,data
219.43925,1.0,Data,data
296.87228,1.0,Data,data
213.61427,1.0,Data,data
197.21571,1.0,Data,data
145.47565,1.0,Data,data
366.6935,1.0,Data,data
817.4042,1.0,Data,data
189.96193,1.0,Data,data
216.11856,1.0,Data,data
111.877,1.0,Data,data
219.72212,1.0,Data,data
355.71854,1.0,Data,data
314.8137,1.0,Data,data
217.53093,1.0,Data,data
135.49875,1.0,Data,data
233.81172,1.0,Data,data
168.87073,1.0,Data,data
474.11755,1.0,Data,data
239.04347,1.0,Data,data
213.01474,1.0,Data,data
86.62816,1.0,Data,data
193.04485,1.0,Data,data
212.42462,1.0,Data,data
284.55493,1.0,Data,data
107.483315,1.0,Data,data
118.017876,1.0,Data,data
92.738495,1.0,Data,data
127.364716,1.0,Data,data
232.71758,1.0,Data,data
128.36711,1.0,Data,data
204.46242,1.0,Data,data
203.07948,1.0,Data,data
185.96933,1.0,Data,data
197.53029,1.0,Data,data
302.887,1.0,Data,data
289.31796,1.0,Data,data
97.11318,1.0,Data,data
314.89655,1.0,Data,data
315.90356,1.0,Data,data
192.36566,1.0,Data,data
198.03868,1.0,Data,data
675.84186,1.0,Data,data
404.78802,1.0,Data,data
189.81883,1.0,Data,data
280.50192,1.0,Data,data
388.04678,1.0,Data,data
249.24156,1.0,Data,data
295.74197,1.0,Data,data
202.78531,1.0,Data,data
191.823,1.0,Data,data
283.78433,1.0,Data,data
210.71007,1.0,Data,data
111.70294,1.0,Data,data
175.65965,1.0,Data,data
194.17308,1.0,Data,data
353.6338,1.0,Data,data
161.72592,1.0,Data,data
152.93239,1.0,Data,data
319.74042,1.0,Data,data
93.95212,1.0,Data,data
219.54512,1.0,Data,data
247.12903,1.0,Data,data
220.22958,1.0,Data,data
206.3466,1.0,Data,data
382.40594,1.0,Data,data
77.3163,1.0,Data,data
311.5181,1.0,Data,data
213.56892,1.0,Data,data
208.57462,1.0,Data,data
248.0635,1.0,Data,data
299.7948,1.0,Data,data
196.88809,1.0,Data,data
94.35335,1.0,Data,data
173.84601,1.0,Data,data
292.5774,1.0,Data,data
286.205,1.0,Data,data
237.62819,1.0,Data,data
426.6082,1.0,Data,data
189.2026,1.0,Data,data
254.55681,1.0,Data,data
203.53842,1.0,Data,data
261.39017,1.0,Data,data
226.80428,1.0,Data,data
295.99954,1.0,Data,data
185.9606,1.0,Data,data
459.60428,1.0,Data,data
302.94278,1.0,Data,data
89.79233,1.0,Data,data
220.7425,1.0,Data,data
205.46938,1.0,Data,data
191.34831,1.0,Data,data
288.8003,1.0,Data,data
183.01205,1.0,Data,data
223.72607,1.0,Data,data
289.63077,1.0,Data,data
257.28946,1.0,Data,data
184.89908,1.0,Data,data
227.65341,1.0,Data,data
329.28653,1.0,Data,data
229.78697,1.0,Data,data
207.54562,1.0,Data,data
217.6939,1.0,Data,data
208.07207,1.0,Data,data
301.17538,1.0,Data,data
180.67552,1.0,Data,data
597.2747,1.0,Data,data
281.32397,1.0,Data,data
551.4757,1.0,Data,data
226.65025,1.0,Data,data
393.65927,1.0,Data,data
156.0735,1.0,Data,data
171.26172,1.0,Data,data
606.33386,1.0,Data,data
334.147,1.0,Data,data
311.3447,1.0,Data,data
337.22577,1.0,Data,data
190.72934,1.0,Data,data
288.15747,1.0,Data,data
208.23228,1.0,Data,data
107.23377,1.0,Data,data
238.94337,1.0,Data,data
205.3252,1.0,Data,data
169.45078,1.0,Data,data
45.31471,1.0,Data,data
404.9216,1.0,Data,data
269.6089,1.0,Data,data
123.74348,1.0,Data,data
241.87198,1.0,Data,data
92.09305,1.0,Data,data
200.86711,1.0,Data,data
263.22025,1.0,Data,data
286.92673,1.0,Data,data
107.78766,1.0,Data,data
93.143166,1.0,Data,data
204.15866,1.0,Data,data
647.57294,1.0,Data,data
123.35689,1.0,Data,data
288.15912,1.0,Data,data
195.9544,1.0,Data,data
204.9602,1.0,Data,data
201.91255,1.0,Data,data
289.54312,1.0,Data,data
132.9518,1.0,Data,data
208.54353,1.0,Data,data
208.49966,1.0,Data,data
225.81613,1.0,Data,data
126.841606,1.0,Data,data
195.3887,1.0,Data,data
140.48784,1.0,Data,data
284.14487,1.0,Data,data
256.77438,1.0,Data,data
89.26606,1.0,Data,data
204.2549,1.0,Data,data
229.57733,1.0,Data,data
283.09903,1.0,Data,data
89.7302,1.0,Data,data
631.1425,1.0,Data,data
275.49557,1.0,Data,data
94.183426,1.0,Data,data
139.21538,1.0,Data,data
185.00687,1.0,Data,data
188.67154,1.0,Data,data
206.09206,1.0,Data,data
268.4429,1.0,Data,data
164.96996,1.0,Data,data
483.1015,1.0,Data,data
277.65408,1.0,Data,data
361.53912,1.0,Data,data
183.11609,1.0,Data,data
199.79285,1.0,Data,data
235.80951,1.0,Data,data
128.2705,1.0,Data,data
188.14572,1.0,Data,data
215.83218,1.0,Data,data
259.70938,1.0,Data,data
358.05255,1.0,Data,data
257.11404,1.0,Data,data
139.89113,1.0,Data,data
297.80624,1.0,Data,data
215.57831,1.0,Data,data
230.99182,1.0,Data,data
195.17369,1.0,Data,data
262.63776,1.0,Data,data
518.2028,1.0,Data,data
197.22226,1.0,Data,data
229.12283,1.0,Data,data
607.07025,1.0,Data,data
422.2933,1.0,Data,data
208.57327,1.0,Data,data
244.16005,1.0,Data,data
246.61984,1.0,Data,data
187.51346,1.0,Data,data
209.7091,1.0,Data,data
243.59871,1.0,Data,data
188.51923,1.0,Data,data
191.87677,1.0,Data,data
391.45996,1.0,Data,data
205.98222,1.0,Data,data
276.6512,1.0,Data,data
190.85834,1.0,Data,data
225.23329,1.0,Data,data
246.94965,1.0,Data,data
406.4293,1.0,Data,data
291.22382,1.0,Data,data
660.1251,1.0,Data,data
203.82228,1.0,Data,data
90.18625,1.0,Data,data
176.67107,1.0,Data,data
208.36578,1.0,Data,data
511.52155,1.0,Data,data
157.90279,1.0,Data,data
339.78314,1.0,Data,data
